Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,19.900000,20.450001,19.650000,20.350000,20.350000,52800
2017-09-26,20.350000,21.100000,20.330000,20.900000,20.900000,61400
2017-09-27,20.950001,23.270000,20.900000,23.100000,23.100000,107200
2017-09-28,22.750000,23.700001,22.500000,23.549999,23.549999,72500
2017-09-29,23.500000,23.750000,23.160000,23.600000,23.600000,70000
2017-10-02,23.600000,24.250000,23.600000,24.150000,24.150000,64700
2017-10-03,24.150000,25.000000,23.750000,24.950001,24.950001,69500
2017-10-04,24.950001,25.650000,24.549999,24.900000,24.900000,68700
2017-10-05,24.900000,24.900000,23.750000,24.000000,24.000000,46300
2017-10-06,23.799999,24.049999,23.600000,23.750000,23.750000,29800
2017-10-09,23.700001,23.900000,23.549999,23.650000,23.650000,19800
2017-10-10,23.799999,24.100000,23.450001,23.900000,23.900000,19500
2017-10-11,23.900000,24.299999,23.650000,23.650000,23.650000,29300
2017-10-12,23.600000,24.000000,23.600000,23.700001,23.700001,25000
2017-10-13,23.850000,23.950001,23.500000,23.879999,23.879999,30600
2017-10-16,23.700001,24.350000,23.700001,24.200001,24.200001,31500
2017-10-17,24.049999,24.450001,23.650000,23.750000,23.750000,24800
2017-10-18,23.850000,24.350000,23.750000,24.200001,24.200001,35500
2017-10-19,24.000000,24.000000,23.200001,23.299999,23.299999,32000
2017-10-20,23.549999,23.930000,23.250000,23.400000,23.400000,36100
2017-10-23,23.450001,23.600000,22.910000,23.049999,23.049999,46900
2017-10-24,23.049999,23.250000,22.700001,22.950001,22.950001,112400
2017-10-25,21.000000,22.570000,21.000000,21.900000,21.900000,76400
2017-10-26,22.100000,22.500000,21.350000,21.549999,21.549999,48500
2017-10-27,21.600000,22.500000,21.549999,22.299999,22.299999,46400
2017-10-30,22.100000,22.250000,21.000000,21.200001,21.200001,25700
2017-10-31,21.350000,21.950001,21.200001,21.549999,21.549999,35500
2017-11-01,21.900000,21.900000,20.580000,20.750000,20.750000,32200
2017-11-02,20.750000,21.590000,20.700001,21.350000,21.350000,26400
2017-11-03,21.400000,21.400000,20.650000,20.700001,20.700001,23300
2017-11-06,20.700001,21.200001,20.400000,20.850000,20.850000,23000
2017-11-07,20.950001,20.950001,20.000000,20.600000,20.600000,34900
2017-11-08,20.350000,20.900000,20.250000,20.750000,20.750000,39100
2017-11-09,20.450001,21.250000,20.400000,21.150000,21.150000,38200
2017-11-10,21.209999,21.549999,20.750000,21.200001,21.200001,44000
2017-11-13,21.000000,21.400000,20.750000,20.750000,20.750000,29200
2017-11-14,20.450001,21.250000,20.250000,21.100000,21.100000,15900
2017-11-15,20.799999,21.000000,20.600000,20.750000,20.750000,21800
2017-11-16,20.900000,22.100000,20.850000,21.950001,21.950001,65400
2017-11-17,21.799999,22.000000,21.299999,21.500000,21.500000,29600
2017-11-20,21.650000,22.000000,21.549999,22.000000,22.000000,21100
2017-11-21,22.000000,23.150000,21.879999,22.950001,22.950001,70200
2017-11-22,22.799999,23.049999,22.559999,22.850000,22.850000,42700
2017-11-24,22.900000,23.150000,22.700001,23.150000,23.150000,13900
2017-11-27,23.250000,23.250000,22.650000,22.750000,22.750000,31600
2017-11-28,22.850000,23.150000,22.500000,22.850000,22.850000,34900
2017-11-29,22.900000,23.250000,22.650000,23.049999,23.049999,37100
2017-11-30,23.350000,23.500000,22.450001,22.549999,22.549999,43300
2017-12-01,22.549999,22.700001,21.049999,22.400000,22.400000,38700
2017-12-04,22.750000,22.959999,22.250000,22.600000,22.600000,44400
2017-12-05,22.650000,22.700001,21.400000,22.049999,22.049999,70100
2017-12-06,22.150000,22.900000,21.900000,22.549999,22.549999,78200
2017-12-07,22.600000,23.049999,22.540001,22.850000,22.850000,48300
2017-12-08,23.000000,23.200001,22.309999,22.750000,22.750000,56000
2017-12-11,22.299999,22.750000,21.799999,22.049999,22.049999,72700
2017-12-12,22.049999,22.500000,20.799999,20.950001,20.950001,49000
2017-12-13,21.049999,22.049999,21.049999,21.799999,21.799999,65100
2017-12-14,21.799999,22.250000,21.100000,21.549999,21.549999,57900
2017-12-15,21.700001,23.250000,21.700001,23.049999,23.049999,276800
2017-12-18,23.350000,23.600000,22.950001,23.150000,23.150000,70000
2017-12-19,23.299999,23.530001,21.959999,22.150000,22.150000,66700
2017-12-20,22.299999,22.350000,21.600000,21.850000,21.850000,34100
2017-12-21,22.100000,22.549999,22.049999,22.250000,22.250000,57000
2017-12-22,22.200001,22.299999,21.700001,21.799999,21.799999,35400
2017-12-26,22.660000,22.660000,21.500000,21.650000,21.650000,25000
2017-12-27,21.650000,21.700001,21.200001,21.450001,21.450001,30300
2017-12-28,21.500000,21.709999,20.049999,21.150000,21.150000,50200
2017-12-29,21.200001,21.350000,20.600000,20.900000,20.900000,63400
2018-01-02,21.049999,21.400000,20.900000,21.150000,21.150000,36800
2018-01-03,21.150000,21.400000,20.350000,20.500000,20.500000,72100
2018-01-04,20.500000,20.500000,19.549999,19.850000,19.850000,77100
2018-01-05,19.850000,20.000000,19.549999,19.900000,19.900000,50000
2018-01-08,19.650000,20.000000,19.549999,19.850000,19.850000,63200
2018-01-09,19.900000,20.020000,19.150000,19.250000,19.250000,56200
2018-01-10,19.200001,19.450001,17.900000,18.950001,18.950001,72300
2018-01-11,18.950001,19.320000,16.299999,18.980000,18.980000,77200
2018-01-12,19.049999,19.950001,18.900000,19.200001,19.200001,43100
2018-01-16,19.150000,19.650000,18.750000,18.900000,18.900000,57500
2018-01-17,19.000000,19.100000,18.850000,19.049999,19.049999,32400
2018-01-18,19.049999,19.100000,18.600000,18.700001,18.700001,39800
2018-01-19,18.700001,19.200001,18.200001,19.100000,19.100000,52700
2018-01-22,19.000000,19.000000,18.549999,18.850000,18.850000,38800
2018-01-23,18.750000,19.250000,18.750000,19.150000,19.150000,38700
2018-01-24,19.250000,19.900000,18.400000,18.450001,18.450001,97400
2018-01-25,18.450001,18.700001,18.360001,18.600000,18.600000,40100
2018-01-26,18.600000,19.129999,18.500000,18.850000,18.850000,32700
2018-01-29,18.750000,18.799999,18.400000,18.500000,18.500000,43000
2018-01-30,18.350000,19.000000,18.350000,18.900000,18.900000,43100
2018-01-31,18.900000,19.150000,18.299999,18.299999,18.299999,81100
2018-02-01,18.250000,18.850000,18.200001,18.350000,18.350000,81800
2018-02-02,18.200001,18.299999,17.850000,18.049999,18.049999,57400
2018-02-05,17.850000,18.250000,17.049999,17.100000,17.100000,92900
2018-02-06,16.650000,17.610001,16.629999,17.500000,17.500000,113200
2018-02-07,17.400000,18.049999,17.250000,17.350000,17.350000,106000
